"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"ILMN_1724686",2.89818987904885,8.20695476886083,26.0921484702073,2.14231911472566e-65,1.01310270935376e-60,138.239901140094,"CLDN1","claudin 1"
"ILMN_1796801",-2.21905254631424,8.5258361590567,-25.1388934193844,5.70693466366172e-63,1.34940470122281e-58,132.727659861521,"ABCA8","ATP binding cassette subfamily A member 8"
"ILMN_1735578",-3.38261190739981,8.97667999823196,-23.3540038950772,2.69940764277404e-58,4.25516624755948e-54,122.091242136759,"GUCA2B","guanylate cyclase activator 2B"
"ILMN_1763749",-4.0226424623501,10.6738343086907,-22.8033480028126,8.10352606371655e-57,9.5803936888289e-53,118.72673680544,"GUCA2A","guanylate cyclase activator 2A"
"ILMN_2210934",-1.99502718393983,9.6719173865567,-22.2646226846063,2.34441702404067e-55,2.21734962133767e-51,115.39745152434,"NR3C2","nuclear receptor subfamily 3 group C member 2"
"ILMN_2126038",-1.77008873877223,8.34047181928351,-22.2054257563295,3.40073152331125e-55,2.68034322895648e-51,115.029358034428,"STMN2","stathmin 2"
"ILMN_1787526",-2.68997053089721,9.26915966437629,-22.1084371739319,6.26101702713092e-55,4.22976421732888e-51,114.425307924561,"AKAP19","A-kinase anchoring protein 19"
"ILMN_1771467",-3.42399291579399,9.17330436269072,-22.0817196693806,7.40889833642997e-55,4.37958502912217e-51,114.258699859993,"TMIGD1","transmembrane and immunoglobulin domain containing 1"
"ILMN_1669046",3.10260902095471,8.40254005489175,21.9708913363651,1.49083696120661e-54,7.83351998838452e-51,113.566616806309,"FOXQ1","forkhead box Q1"
"ILMN_1787815",2.02966982969364,7.92087014191753,21.6366918553285,1.23921261563456e-53,5.86023645933583e-50,111.470258562993,"TRIB3","tribbles pseudokinase 3"
"ILMN_1665797",1.2075461881069,10.0333178575412,21.5960177222878,1.6050489115337e-53,6.3252302522024e-50,111.214158597202,"CSE1L","chromosome segregation 1 like"
"ILMN_1734897",-3.06245322475081,9.1806235087732,-21.6058336795882,1.50788565648705e-53,6.3252302522024e-50,111.275982652166,"SLC4A4","solute carrier family 4 member 4"
"ILMN_1661777",-1.40460150055656,8.23755087560825,-21.4631779055494,3.74116362069049e-53,1.26371162587467e-49,110.376302835456,"NR3C2","nuclear receptor subfamily 3 group C member 2"
"ILMN_2049766",1.98689620108169,9.37705839259278,21.4637748882266,3.72694493381615e-53,1.26371162587467e-49,110.380073104815,"NFE2L3","NFE2 like bZIP transcription factor 3"
"ILMN_1706238",1.20181224553502,10.3117671856546,21.4242920405902,4.79475893375553e-53,1.38115440442465e-49,110.130621554309,"CSE1L","chromosome segregation 1 like"
"ILMN_1751062",-2.16026221658474,8.47165513069072,-21.420085469268,4.92525574671963e-53,1.38115440442465e-49,110.104033070542,"SCARA5","scavenger receptor class A member 5"
"ILMN_1753830",1.37331308172206,7.22131273990722,21.4188255653312,4.96502957818123e-53,1.38115440442465e-49,110.096069163139,"ETV4","ETS variant transcription factor 4"
"ILMN_1656300",-1.09857210282585,7.71550316495876,-21.3796571868459,6.37613030215855e-53,1.67515112216154e-49,109.848385306943,"GFRA2","GDNF family receptor alpha 2"
"ILMN_1813704",2.91454489830225,8.28062226454124,21.3689731092325,6.82659406523311e-53,1.69910333339407e-49,109.78079060096,"CEMIP","cell migration inducing hyaluronidase 1"
"ILMN_1704294",1.70074370560739,7.30390033293299,21.3540272674287,7.51081282272312e-53,1.77593169193288e-49,109.686209208763,"CDH3","cadherin 3"
"ILMN_1772521",1.3610807999213,8.14063536999485,21.304680949629,1.02975465171357e-52,2.31890940378738e-49,109.373734515765,"MTHFD1L","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like"
"ILMN_2341661",1.25769440268466,7.11185582028866,20.7027018853243,4.9530197607409e-51,1.06467411129744e-47,105.537590446965,"ETV4","ETS variant transcription factor 4"
"ILMN_1659990",1.55742459813754,8.29923001673711,20.2585668260125,8.8709095494908e-50,1.82393614171922e-46,102.678987468569,"HILPDA","hypoxia inducible lipid droplet associated"
"ILMN_1705301",1.40603646823232,7.67066587311856,20.139012463747,1.93641832988054e-49,3.81555095083546e-46,101.905456700067,"TEAD4","TEA domain transcription factor 4"
"ILMN_1737025",-1.31195463729714,8.66815281319588,-20.0681059516852,3.07904098953072e-49,5.82431393579632e-46,101.44588260452,"PLCL2","phospholipase C like 2"
"ILMN_1779857",-2.11183615276723,9.99941101483505,-20.0549031162287,3.35696789690539e-49,6.10580814787139e-46,101.360244039046,"KLF4","KLF transcription factor 4"
"ILMN_1792681",1.04592228266777,8.39503376896907,20.0377556526384,3.75582500313202e-49,6.57825794067086e-46,101.248988447855,"CCDC86","coiled-coil domain containing 86"
"ILMN_1829555",-3.2098993436519,9.28617904075258,-20.0134559562114,4.40378216808983e-49,7.43767352603457e-46,101.091268668139,"LCE6A","late cornified envelope 6A"
"ILMN_2399016",-1.53659935265623,8.26657808120619,-19.9609517403212,6.21262078453283e-49,1.01308564448468e-45,100.750247375398,"MMP28","matrix metallopeptidase 28"
"ILMN_1796949",1.38960367885481,8.00549798002577,19.9402562273666,7.11575109063139e-49,1.12167956358653e-45,100.615738602488,"TPX2","TPX2 microtubule nucleation factor"
"ILMN_1679391",-2.51037579219947,8.78805578560309,-19.9249061742765,7.86964694203963e-49,1.20050194802921e-45,100.51593979382,"MAMDC2","MAM domain containing 2"
"ILMN_2137789",-2.11912282454579,10.6033538272732,-19.8336288444086,1.43304306418017e-48,2.11776895328376e-45,99.9219289831686,"KLF4","KLF transcription factor 4"
